circuit_key,family_group,strategy,num_plaquettes,x,time,repetitions,source_size,source_depth,source_two_qubit,mean_pauli_weight,logical_size,logical_two_qubit,exact_equivalence_validated,native_size,native_depth,native_two_qubit,native_two_qubit_depth,native_duration_seconds,routing_two_qubit_overhead,routing_penalty_ratio,native_swap_gates,calibration_error_budget,compile_time_seconds,cost
N5_x0.5_t0.08_r4,x0.5_r4,teleport,5,0.5,0.08,4,745,536,288,1.72,702,288,True,1354,804,200,174,0.0001025597820000003,-88,0.6944444444444444,0,0.32384903028451517,0.7302291019877885,209.9569806056903
N5_x0.5_t0.08_r4,x0.5_r4,full_reduce,5,0.5,0.08,4,745,536,288,1.72,606,198,True,2450,1273,385,326,0.00016438522799999905,187,1.9444444444444444,0,0.9172002759989871,0.7325500699953409,409.86400551997974
N5_x0.5_t0.16_r1,x0.5_r1,qiskit,5,0.5,0.16,1,187,134,72,1.72,187,72,True,408,245,60,52,3.071458799999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.008839101996272802,63.00628427316157
N5_x0.5_t0.16_r1,x0.5_r1,basic,5,0.5,0.16,1,187,134,72,1.72,131,62,True,356,193,48,40,2.2871327999999985e-05,-14,0.7741935483870968,0,0.09892800001779327,0.05152482999255881,50.77856000035586
N5_x0.5_t0.16_r1,x0.5_r1,teleport,5,0.5,0.16,1,187,134,72,1.72,183,72,True,385,229,56,48,2.8990535999999978e-05,-16,0.7777777777777778,0,0.08525574426551938,0.1105139510036679,58.66511488531039
N5_x0.5_t0.16_r1,x0.5_r1,full_reduce,5,0.5,0.16,1,187,134,72,1.72,201,72,True,813,425,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.11331607999454718,117.6018312720172
N5_x0.5_t0.16_r2,x0.5_r2,qiskit,5,0.5,0.16,2,373,268,144,1.72,373,144,True,784,477,118,102,5.953706999999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.008390804010559805,124.03711576577167
N5_x0.5_t0.16_r2,x0.5_r2,basic,5,0.5,0.16,2,373,268,144,1.72,257,124,True,685,377,94,78,4.399795799999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.1673921000037808,99.58166722016027
N5_x0.5_t0.16_r2,x0.5_r2,teleport,5,0.5,0.16,2,373,268,144,1.72,356,144,True,704,421,104,90,5.344938599999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2789685589959845,109.0957367921037
N5_x0.5_t0.16_r2,x0.5_r2,full_reduce,5,0.5,0.16,2,373,268,144,1.72,335,113,True,1393,738,199,176,9.174371999999988e-05,86,1.761061946902655,0,0.4472759886846529,0.2646268819953548,211.46551977369307
N5_x0.5_t0.16_r4,x0.5_r4,qiskit,5,0.5,0.16,4,745,536,288,1.72,745,288,True,1562,955,234,202,0.00011754345000000043,-54,0.8125,0,0.40293893754959303,0.010667374008335173,246.09877875099184
N5_x0.5_t0.16_r4,x0.5_r4,basic,5,0.5,0.16,4,745,536,288,1.72,509,248,True,1363,744,186,154,8.601678600000008e-05,-62,0.75,0,0.4053940829884529,0.19461312500061467,197.18788165976906
N5_x0.5_t0.16_r4,x0.5_r4,teleport,5,0.5,0.16,4,745,536,288,1.72,702,288,True,1334,805,200,174,0.00010243635000000029,-88,0.6944444444444444,0,0.32384903028451517,0.7080260619986802,209.9569806056903
N5_x0.5_t0.16_r4,x0.5_r4,full_reduce,5,0.5,0.16,4,745,536,288,1.72,606,198,True,2451,1270,385,326,0.00016436280599999907,187,1.9444444444444444,0,0.9172002759989871,0.6395823169877985,409.86400551997974
N5_x0.5_t0.24_r1,x0.5_r1,qiskit,5,0.5,0.24,1,187,134,72,1.72,187,72,True,410,241,60,52,3.069949199999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.008534256005077623,63.00628427316157
N5_x0.5_t0.24_r1,x0.5_r1,basic,5,0.5,0.24,1,187,134,72,1.72,131,62,True,355,192,48,40,2.2836695999999987e-05,-14,0.7741935483870968,0,0.09892800001779327,0.048613266000756994,50.77856000035586
N5_x0.5_t0.24_r1,x0.5_r1,teleport,5,0.5,0.24,1,187,134,72,1.72,183,72,True,387,225,56,48,2.897543999999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.10084272699896246,58.66511488531039
N5_x0.5_t0.24_r1,x0.5_r1,full_reduce,5,0.5,0.24,1,187,134,72,1.72,201,72,True,805,425,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.10492833900207188,117.6018312720172
N5_x0.5_t0.24_r2,x0.5_r2,qiskit,5,0.5,0.24,2,373,268,144,1.72,373,144,True,784,482,118,102,5.962142999999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.008348556002601981,124.03711576577167
N5_x0.5_t0.24_r2,x0.5_r2,basic,5,0.5,0.24,2,373,268,144,1.72,257,124,True,686,381,94,78,4.399795799999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.09995622200949583,99.58166722016027
N5_x0.5_t0.24_r2,x0.5_r2,teleport,5,0.5,0.24,2,373,268,144,1.72,356,144,True,711,418,104,90,5.3572817999999884e-05,-40,0.7222222222222222,0,0.1647868396051848,0.28264160800608806,109.0957367921037
N5_x0.5_t0.24_r2,x0.5_r2,full_reduce,5,0.5,0.24,2,373,268,144,1.72,335,113,True,1382,735,199,176,9.174105599999989e-05,86,1.761061946902655,0,0.4472759886846529,0.3149325249978574,211.46551977369307
N5_x0.5_t0.24_r4,x0.5_r4,qiskit,5,0.5,0.24,4,745,536,288,1.72,745,288,True,1549,945,234,202,0.00011725129800000041,-54,0.8125,0,0.40293893754959303,0.010897942003794014,246.09877875099184
N5_x0.5_t0.24_r4,x0.5_r4,basic,5,0.5,0.24,4,745,536,288,1.72,509,248,True,1358,748,186,154,8.601678600000008e-05,-62,0.75,0,0.4053940829884529,0.17885569200734608,197.18788165976906
N5_x0.5_t0.24_r4,x0.5_r4,teleport,5,0.5,0.24,4,745,536,288,1.72,702,288,True,1345,810,200,174,0.00010245144600000029,-88,0.6944444444444444,0,0.32384903028451517,0.6139542590099154,209.9569806056903
N5_x0.5_t0.24_r4,x0.5_r4,full_reduce,5,0.5,0.24,4,745,536,288,1.72,606,198,True,2445,1273,385,326,0.00016443317999999903,187,1.9444444444444444,0,0.9172002759989871,0.640958023010171,409.86400551997974
N5_x0.5_t0.32_r1,x0.5_r1,qiskit,5,0.5,0.32,1,187,134,72,1.72,187,72,True,409,242,60,52,3.073412399999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.007259844001964666,63.00628427316157
N5_x0.5_t0.32_r1,x0.5_r1,basic,5,0.5,0.32,1,187,134,72,1.72,131,62,True,352,193,48,40,2.2836695999999987e-05,-14,0.7741935483870968,0,0.09892800001779327,0.052443277003476396,50.77856000035586
N5_x0.5_t0.32_r1,x0.5_r1,teleport,5,0.5,0.32,1,187,134,72,1.72,183,72,True,382,229,56,48,2.8990535999999978e-05,-16,0.7777777777777778,0,0.08525574426551938,0.11339855499682017,58.66511488531039
N5_x0.5_t0.32_r1,x0.5_r1,full_reduce,5,0.5,0.32,1,187,134,72,1.72,201,72,True,811,426,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.10963872700813226,117.6018312720172
N5_x0.5_t0.32_r2,x0.5_r2,qiskit,5,0.5,0.32,2,373,268,144,1.72,373,144,True,796,479,118,102,5.959123799999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.012160441008745693,124.03711576577167
N5_x0.5_t0.32_r2,x0.5_r2,basic,5,0.5,0.32,2,373,268,144,1.72,257,124,True,692,379,94,78,4.391981399999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.0971638500050176,99.58166722016027
N5_x0.5_t0.32_r2,x0.5_r2,teleport,5,0.5,0.32,2,373,268,144,1.72,356,144,True,706,421,104,90,5.351864999999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2702705549891107,109.0957367921037
N5_x0.5_t0.32_r2,x0.5_r2,full_reduce,5,0.5,0.32,2,373,268,144,1.72,335,113,True,1394,739,199,176,9.181298399999988e-05,86,1.761061946902655,0,0.4472759886846529,0.3136154859967064,211.46551977369307
N5_x0.5_t0.32_r4,x0.5_r4,qiskit,5,0.5,0.32,4,745,536,288,1.72,745,288,True,1546,945,234,202,0.00011725129800000041,-54,0.8125,0,0.40293893754959303,0.012888985991594382,246.09877875099184
N5_x0.5_t0.32_r4,x0.5_r4,basic,5,0.5,0.32,4,745,536,288,1.72,509,248,True,1347,745,186,154,8.613844200000008e-05,-62,0.75,0,0.4053940829884529,0.17807963299856056,197.18788165976906
N5_x0.5_t0.32_r4,x0.5_r4,teleport,5,0.5,0.32,4,745,536,288,1.72,702,288,True,1340,810,200,174,0.00010245144600000029,-88,0.6944444444444444,0,0.32384903028451517,0.6129222759918775,209.9569806056903
N5_x0.5_t0.32_r4,x0.5_r4,full_reduce,5,0.5,0.32,4,745,536,288,1.72,606,198,True,2450,1271,385,326,0.00016435214999999906,187,1.9444444444444444,0,0.9172002759989871,0.5946554169931915,409.86400551997974
N5_x1_t0.04_r1,x1_r1,qiskit,5,1.0,0.04,1,187,134,72,1.72,187,72,True,403,243,60,52,3.067995599999998e-05,-12,0.8333333333333334,0,0.09831421365807834,0.007506608992116526,63.00628427316157
N5_x1_t0.04_r1,x1_r1,basic,5,1.0,0.04,1,187,134,72,1.72,131,62,True,354,193,48,40,2.2927715999999988e-05,-14,0.7741935483870968,0,0.09892800001779327,0.050302137999096885,50.77856000035586
N5_x1_t0.04_r1,x1_r1,teleport,5,1.0,0.04,1,187,134,72,1.72,183,72,True,385,224,56,48,2.894080799999998e-05,-16,0.7777777777777778,0,0.08525574426551938,0.1128449669922702,58.66511488531039
N5_x1_t0.04_r1,x1_r1,full_reduce,5,1.0,0.04,1,187,134,72,1.72,201,72,True,806,424,111,91,5.09834099999999e-05,39,1.5416666666666667,0,0.23909156360085995,0.10687248600879684,117.6018312720172
N5_x1_t0.04_r2,x1_r2,qiskit,5,1.0,0.04,2,373,268,144,1.72,373,144,True,787,485,118,102,5.970578999999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.009568798006512225,124.03711576577167
N5_x1_t0.04_r2,x1_r2,basic,5,1.0,0.04,2,373,268,144,1.72,257,124,True,692,377,94,78,4.391981399999991e-05,-30,0.7580645161290323,0,0.20108336100801333,0.09680318999744486,99.58166722016027
N5_x1_t0.04_r2,x1_r2,teleport,5,1.0,0.04,2,373,268,144,1.72,356,144,True,702,416,104,90,5.343428999999988e-05,-40,0.7222222222222222,0,0.1647868396051848,0.2749535269977059,109.0957367921037
N5_x1_t0.04_r2,x1_r2,full_reduce,5,1.0,0.04,2,373,268,144,1.72,335,113,True,1389,738,199,176,9.173306399999989e-05,86,1.761061946902655,0,0.4472759886846529,0.2666726040042704,211.46551977369307
N5_x1_t0.04_r4,x1_r4,qiskit,5,1.0,0.04,4,745,536,288,1.72,745,288,True,1570,948,234,202,0.00011738982600000042,-54,0.8125,0,0.40293893754959303,0.01068946199666243,246.09877875099184
N5_x1_t0.04_r4,x1_r4,basic,5,1.0,0.04,4,745,536,288,1.72,509,248,True,1338,748,186,154,8.610381000000008e-05,-62,0.75,0,0.4053940829884529,0.18811600399203598,197.18788165976906
N5_x1_t0.04_r4,x1_r4,teleport,5,1.0,0.04,4,745,536,288,1.72,702,288,True,1353,804,200,174,0.0001025597820000003,-88,0.6944444444444444,0,0.32384903028451517,0.6519355219934369,209.9569806056903
N5_x1_t0.04_r4,x1_r4,full_reduce,5,1.0,0.04,4,745,536,288,1.72,606,198,True,2451,1273,385,326,0.00016433949599999905,187,1.9444444444444444,0,0.9172002759989871,0.6866512480046367,409.86400551997974
N5_x1_t0.08_r1,x1_r1,qiskit,5,1.0,0.08,1,187,134,72,1.72,187,72,True,407,245,60,52,3.071458799999997e-05,-12,0.8333333333333334,0,0.09831421365807834,0.008618691994342953,63.00628427316157
N5_x1_t0.08_r1,x1_r1,basic,5,1.0,0.08,1,187,134,72,1.72,131,62,True,356,193,48,40,2.2871327999999985e-05,-14,0.7741935483870968,0,0.09892800001779327,0.05634244599787053,50.77856000035586
N5_x1_t0.08_r1,x1_r1,teleport,5,1.0,0.08,1,187,134,72,1.72,183,72,True,385,229,56,48,2.8990535999999978e-05,-16,0.7777777777777778,0,0.08525574426551938,0.11032822399283759,58.66511488531039
N5_x1_t0.08_r1,x1_r1,full_reduce,5,1.0,0.08,1,187,134,72,1.72,201,72,True,814,425,111,91,5.105800199999991e-05,39,1.5416666666666667,0,0.23909156360085995,0.12415127099666279,117.6018312720172
N5_x1_t0.08_r2,x1_r2,qiskit,5,1.0,0.08,2,373,268,144,1.72,373,144,True,786,477,118,102,5.953706999999985e-05,-26,0.8194444444444444,0,0.1998557882885834,0.009034998991410248,124.03711576577167
