time,direct_energy,six_basis_energy,absolute_error
0.0,2.9999999999999396,3.0000000000000617,1.2212453270876722e-13
0.08,2.999715126130056,2.9997151261301815,1.2567724638756772e-13
0.16,3.028041409789525,3.02804140978965,1.2523315717771766e-13
0.24,3.226186079956597,3.2261860799567024,1.0524914273446484e-13
0.32,3.575290444838649,3.5752904448387524,1.0347278589506459e-13
