num_plaquettes,x,time,term_ordering,fit,exponent,standard_error,r_squared,repetitions
2,1.0,0.16,current,full,1.998827042593468,0.00048487041729626713,0.9999998823123509,"[1, 2, 4, 8]"
2,1.0,0.16,current,asymptotic,1.9996614201682272,0.00012323438439954722,0.9999999962020358,"[2, 4, 8]"
2,1.0,0.16,reversed,full,1.989350105476857,0.003978788401460488,0.9999919997093507,"[1, 2, 4, 8]"
2,1.0,0.16,reversed,asymptotic,1.9961633147352644,0.001336943675237449,0.9999995514262171,"[2, 4, 8]"
2,1.0,0.16,symmetry,full,1.9752868208251362,0.009218241834016755,0.9999564441050566,"[1, 2, 4, 8]"
2,1.0,0.16,symmetry,asymptotic,1.9910704381783646,0.003110565537519912,0.9999975593561855,"[2, 4, 8]"
2,2.0,0.32,current,full,1.9136562595197317,0.040672959567218885,0.9990973456276273,"[1, 2, 4, 8]"
2,2.0,0.32,current,asymptotic,1.983940158818081,0.006197098687991089,0.9999902430192041,"[2, 4, 8]"
2,2.0,0.32,reversed,full,2.095264261333866,0.03485814808451949,0.9994467509631209,"[1, 2, 4, 8]"
2,2.0,0.32,reversed,asymptotic,2.0356573369765067,0.012402018135697102,0.9999628841633257,"[2, 4, 8]"
2,2.0,0.32,symmetry,full,2.018198139747411,0.0028588153795496615,0.9999959869657218,"[1, 2, 4, 8]"
2,2.0,0.32,symmetry,asymptotic,2.014814636410632,0.004667329945884803,0.9999946338293187,"[2, 4, 8]"
3,1.0,0.16,current,full,2.003753753118926,0.0013018832719770923,0.9999991557228706,"[1, 2, 4, 8]"
3,1.0,0.16,current,asymptotic,2.0015356789787675,0.0005241616632733615,0.9999999314190012,"[2, 4, 8]"
3,1.0,0.16,reversed,full,2.0004263530687196,0.00013271773147199744,0.9999999911967556,"[1, 2, 4, 8]"
3,1.0,0.16,reversed,asymptotic,2.00020252402772,6.760849862466957e-05,0.9999999988575041,"[2, 4, 8]"
3,1.0,0.16,symmetry,full,2.004889082549541,0.0017616725982831907,0.9999984558160947,"[1, 2, 4, 8]"
3,1.0,0.16,symmetry,asymptotic,2.001879311710974,0.0006477532065744453,0.9999998953008117,"[2, 4, 8]"
3,2.0,0.32,current,full,2.0539132118695305,0.011680891161236098,0.9999353170705028,"[1, 2, 4, 8]"
3,2.0,0.32,current,asymptotic,2.035998372295761,0.012137282645523766,0.9999644636642194,"[2, 4, 8]"
3,2.0,0.32,reversed,full,2.0914203001898377,0.04454743483061205,0.9990934351734383,"[1, 2, 4, 8]"
3,2.0,0.32,reversed,asymptotic,2.0143441376401516,0.004598372280691728,0.9999947887890246,"[2, 4, 8]"
3,2.0,0.32,symmetry,full,2.1029252152558664,0.04200653892978412,0.9992026119934049,"[1, 2, 4, 8]"
3,2.0,0.32,symmetry,asymptotic,2.0306929083793537,0.011265121827810835,0.9999692269943535,"[2, 4, 8]"
4,1.0,0.16,current,full,1.9934612618514806,0.0025082101454869735,0.9999968337816629,"[1, 2, 4, 8]"
4,1.0,0.16,current,asymptotic,1.9977626584848436,0.0007867034634894803,0.9999998449276835,"[2, 4, 8]"
4,1.0,0.16,reversed,full,1.9907320554655317,0.0034561350762344857,0.9999939718621694,"[1, 2, 4, 8]"
4,1.0,0.16,reversed,asymptotic,1.9966496249366759,0.0011668908464802087,0.9999996584481862,"[2, 4, 8]"
4,1.0,0.16,symmetry,full,1.9860923502781813,0.005196874101014603,0.9999863066546003,"[1, 2, 4, 8]"
4,1.0,0.16,symmetry,asymptotic,1.994991446285373,0.001745752712196666,0.9999992342569877,"[2, 4, 8]"
4,2.0,0.32,current,full,1.9817412094815592,0.012572182552331631,0.9999195135976142,"[1, 2, 4, 8]"
4,2.0,0.32,current,asymptotic,2.0035096414575793,0.000724214163707701,0.9999998693374594,"[2, 4, 8]"
4,2.0,0.32,reversed,full,2.0238815625310065,0.006288895995951357,0.9999806892008831,"[1, 2, 4, 8]"
4,2.0,0.32,reversed,asymptotic,2.01352729881017,0.004366512976437988,0.999995297244242,"[2, 4, 8]"
4,2.0,0.32,symmetry,full,1.9650275999686337,0.020219531221155544,0.9997882892567876,"[1, 2, 4, 8]"
4,2.0,0.32,symmetry,asymptotic,2.0000460665054627,0.0005705696260126905,0.9999999186163312,"[2, 4, 8]"
5,1.0,0.16,current,full,1.988162334275335,0.004448143298528905,0.999989988952921,"[1, 2, 4, 8]"
5,1.0,0.16,current,asymptotic,1.9957815193550483,0.0014753277229794747,0.9999994535495653,"[2, 4, 8]"
5,1.0,0.16,reversed,full,2.0076922020739127,0.0028029834665729753,0.9999961017013237,"[1, 2, 4, 8]"
5,1.0,0.16,reversed,asymptotic,2.002899834587805,0.001002798433063645,0.9999997493263278,"[2, 4, 8]"
5,1.0,0.16,symmetry,full,2.008156582311467,0.002970222811986211,0.9999956246680514,"[1, 2, 4, 8]"
5,1.0,0.16,symmetry,asymptotic,2.0030784962828836,0.001064356569747857,0.9999997176562163,"[2, 4, 8]"
5,2.0,0.32,current,full,1.8657771603495883,0.06494898986718868,0.997582291240751,"[1, 2, 4, 8]"
5,2.0,0.32,current,asymptotic,1.978061635104594,0.008879806988999662,0.9999798479765178,"[2, 4, 8]"
5,2.0,0.32,reversed,full,2.1208316338370703,0.04810941832112056,0.9989719100850223,"[1, 2, 4, 8]"
5,2.0,0.32,reversed,asymptotic,2.0381072135115277,0.012924052215052568,0.9999597907573884,"[2, 4, 8]"
5,2.0,0.32,symmetry,full,2.1028846414175915,0.034696131106923586,0.9994558422625407,"[1, 2, 4, 8]"
5,2.0,0.32,symmetry,asymptotic,2.0438963892386486,0.014824003408760719,0.9999473994343129,"[2, 4, 8]"
6,1.0,0.16,current,full,1.9907872437969325,0.0034641147732024143,0.999993944329834,"[1, 2, 4, 8]"
6,1.0,0.16,current,asymptotic,1.9967213324851785,0.0011451818816797298,0.9999996710621284,"[2, 4, 8]"
6,1.0,0.16,reversed,full,2.0037443280983522,0.0013453217803670147,0.999999098434387,"[1, 2, 4, 8]"
6,1.0,0.16,reversed,asymptotic,2.001446329828053,0.0004981231923754848,0.9999999380579462,"[2, 4, 8]"
