num_plaquettes,x,time,repetitions,term_ordering,circuit_hash,circuit_structure_hash,source_gate_count,source_depth,source_1q_count,source_2q_count,pauli_term_count,mean_pauli_weight,interaction_edge_count,interaction_mean_degree,interaction_max_degree,interaction_range,initial_ones,tvd,energy_drift,mirror_asymmetry,exact_mirror_asymmetry,survival_error,survival,local_occupation_error,occupations,electric_energy,magnetic_energy,total_energy,norm_error
2,1.0,0.16,1,current,9c19a3f8c1d192e6cbbc77d20afc675c17fd8cf4611175ec96a4f6f460f60b55,894804464cc738d6e7e478cfa47e0b9effab233e51c17cf8dbdb61db842c3ff9,44,39,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.0004410608386799285,0.004287429805702736,0.0004549170090971666,0.0,0.00037111977654713524,0.9503526799818404,0.0004410608386812287,"[0.9736929487361417, 0.9741478657452388]",4.417993423471381,0.08629400633432152,4.504287429805703,2.220446049250313e-15
2,1.0,0.16,1,reversed,81e6cf63b0842706c7c31d30eaa727f743219c4ed8d6e429fc681ccf209290a8,4b937358cf51dd72ab6ef1cf03574c93629f747d8a43453c578693e6f6be3532,44,39,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.0004109934617193417,0.0019116070494611392,0.00045041925469313515,0.0,0.00026127998992775403,0.9509850797483153,0.0004109934617180233,"[0.9745450030365409, 0.9740945837818478]",4.419441140832693,0.07864725211784568,4.498088392950539,2.55351295663786e-15
2,1.0,0.16,1,symmetry,47ad34607ac45f8c39ba0afcdd8b52daf2566831effa4120c6b31cd212080578,b48c21928119bbd4f72bf48bf5ab54a1cc99cc6267ea9c29761b132d6658811b,44,33,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.0013038441938995299,0.002317459634023855,0.0,0.0,0.0013038441938981737,0.9520276439522857,0.0007131636017286835,"[0.9748471731765516, 0.9748471731765516]",4.421041573130879,0.08127588650314398,4.502317459634024,2.6645352591003757e-15
2,1.0,0.16,2,current,5dc5d0a04c5d855d47ce552f8b36b601355ee77632e2cde5514f52dad283edb3,7d6a447595a0f6b2aafaec6f5aa41d618241003592a29a32a13065e0c7c1e23f,86,77,62,24,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.00011049846740162792,0.0010388862459072001,0.00011271434513793199,0.0,9.480794407201731e-05,0.9506289918143155,0.00011049846740407432,"[0.9740235111074188, 0.9741362254525567]",4.418535721958453,0.0825031642874545,4.501038886245907,4.773959005888173e-15
2,1.0,0.16,2,reversed,8b85ffe1a0f7d6841e919354ef44cc72867d784203b022c4ab53fd08b29f76eb,3de89492e898eacec2047f5fc749b7d7658bafb018cf242ef9a847279c725f70,86,77,62,24,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.00010460058651071374,0.00045021900657804537,0.00011242059510574443,0.0,6.884004604812421e-05,0.9507926398044356,0.00010460058650851867,"[0.9742386101613314, 0.9741261895662257]",4.418905439476017,0.08064434151740532,4.499549780993422,4.218847493575595e-15
2,1.0,0.16,2,symmetry,92d3b1ba253a8becdfc43aa41ebd44e821ba66c4d5285cb0276c2c25cb52d89a,56e7292f6db503f544efeba920214982b99f198a08bd3f43b9c9a332bd9a602f,86,65,62,24,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.00033974334943691776,0.0006244953243061957,0.0,0.0,0.0003397433494344293,0.9510635431078219,0.0001881392022100581,"[0.9743221487770329, 0.9743221487770329]",4.419337578000466,0.08128691732383975,4.500624495324306,4.6629367034256575e-15
2,1.0,0.16,4,current,5c352a8c8c94b42866d9974560cab93feb1fc0e6b9176e91eda33dbd2c2a5c95,99b78b31fbf12c0eebcc22099ea8f1f1b05d0d10d32c8f2d0f3ec608f463c749,170,153,122,48,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",2.76351890647552e-05,0.00025768294680439396,2.811390732759822e-05,0.0,2.381702327491908e-05,0.9506999827351126,2.7635189069119548e-05,"[0.9741063743857538, 0.9741344882930814]",4.418672613933837,0.0815850690129673,4.500257682946804,8.548717289613705e-15
2,1.0,0.16,4,reversed,62adafd997a3d91a61c269c13f9900ddb2fd60e53210c256ffbbe4b8678a09b6,1914894b4679f760a7e720516809fc900c8f6b9e8d941d999b48779f4c5edb7f,170,153,122,48,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",2.626190144174251e-05,0.00011089662440166848,2.8095362567759352e-05,0.0,1.742424884842997e-05,0.9507412240072359,2.6261901436841484e-05,"[0.9741602714762597, 0.974132176113692]",4.418765506759001,0.08112359661659696,4.499889103375598,9.769962616701378e-15
2,1.0,0.16,4,symmetry,97c150973ae1e6941ca256ae6d23b040224065fd6904b4125b3dfde756af99ea,604a91e235d8649bd875a0571466a23e2369539a3063eba46a2dd3aee389a8e7,170,129,122,48,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",8.57829318389276e-05,0.00015893529670663042,0.0,0.0,8.578293183436614e-05,0.9508095826902219,4.764046849259351e-05,"[0.9741816500433155, 0.9741816500433155]",4.418875526224559,0.08128340907214739,4.500158935296707,9.2148511043888e-15
2,1.0,0.16,8,current,908aed2f8e88d646c78c3d1e61a0465203ccf1268c72d890cd4f8a54d968e1b9,90aafcebf377694fbbc921b4a3cc3d5e1e9ce41606710f4aabd67dcc68bf1992,338,305,242,96,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",6.90939652412694e-06,6.429369878890867e-05,7.024417501000357e-06,0.0,5.961267301013429e-06,0.9507178384910865,6.909396537468915e-06,"[0.9741271001782854, 0.9741341245957864]",4.418706916585586,0.08135737711320318,4.500064293698789,2.6201263381153694e-14
2,1.0,0.16,8,reversed,2063de3df43fdfa89c11a61e6e162ce71d7fa2cf0e61b506949e2e8babf3e9da,1768377b2d5ea56423dc345911c6f2418a6a0dbafb3fb98b86b218d72538a546,338,305,242,96,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",6.572400979975614e-06,2.76215957386583e-05,7.02325560308914e-06,0.0,4.369363954759287e-06,0.9507281691223423,6.572400966575742e-06,"[0.9741405819757895, 0.9741335587201864]",4.418730168404413,0.08124220999984846,4.499972378404261,2.6645352591003757e-14
2,1.0,0.16,8,symmetry,8e96d93d42edc98f9d044c0397aa20a3caa6fa590fd8ef12ab1705a119e3f8eb,9d7e4fda80dfa8c83b6a0fc181537b182f8f717524aa86d0d2163168688fb04c,338,257,242,96,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",2.149844822457226e-05,3.9909354882183834e-05,0.0,0.0,2.149844821119906e-05,0.9507452982065987,1.1947812437851368e-05,"[0.9741459573872607, 0.9741459573872607]",4.418757797013664,0.08128211234121803,4.500039909354882,2.6867397195928788e-14
2,2.0,0.32,1,current,bcca9426024d7730791c5da3ba5d20de2b4d74fe35073a8ed2418ab80c1a0a8a,894804464cc738d6e7e478cfa47e0b9effab233e51c17cf8dbdb61db842c3ff9,44,39,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.04269898635829815,0.10507348732564648,0.030229301279259047,0.0,0.018847359965888988,0.48212970371954494,0.04269898635829983,"[0.5576011235557566, 0.5878304248350157]",2.713100089592999,1.6818264230813538,4.3949265126743535,3.774758283725532e-15
2,2.0,0.32,1,reversed,ca309473cc9cfe882b1e67cb876b8f8ff209c4fce77cbacb4081e45dbc57e1a3,4b937358cf51dd72ab6ef1cf03574c93629f747d8a43453c578693e6f6be3532,44,39,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.07630126980213091,0.06385455573609367,0.04587607457756304,0.0,0.03603519332817112,0.4649418703572628,0.025053478861675083,"[0.6253535887757316, 0.5794775141981685]",2.9170805033858067,1.6467740523502878,4.563854555736094,3.3306690738754696e-15
2,2.0,0.32,1,symmetry,eb89bc260d590f31e22738e6ff700facbb25d7261af61319e3de1532603091db,b48c21928119bbd4f72bf48bf5ab54a1cc99cc6267ea9c29761b132d6658811b,44,33,32,12,7,1.4285714285714286,1,1.0,1,1,"[0, 1]",0.1097772218392209,0.1895918917851338,1.1102230246251565e-16,0.0,0.03025863488059022,0.5312356985660242,0.07001792835990528,"[0.6703180382739617, 0.6703180382739616]",3.2250546817947336,1.4645372099904006,4.689591891785134,1.7763568394002505e-15
