circuit_structure_hash,target_name,delta_native_2q_count,delta_native_2q_depth
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_grid_6q_transpiler,-6.0,-6.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_heavy_hex_like_7q_transpiler,-6.0,-6.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_irregular_7q_favorable,-6.0,-6.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_irregular_7q_spread,-6.0,-7.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_line_6q_favorable,-6.0,-6.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_line_6q_spread,-6.0,-7.0
ac9e11c5e0ad6cf029dbb306c1c1878bd17bda5d9f0f07da06929dd1ce826be0,synthetic_ring_6q_transpiler,-6.0,-6.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_grid_8q_transpiler,10.0,22.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_heavy_hex_like_8q_transpiler,10.0,22.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_irregular_8q_favorable,10.0,22.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_irregular_8q_spread,10.0,19.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_line_8q_favorable,10.0,22.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_line_8q_spread,10.0,19.0
b900105fd332fb167e8c3241bb160ee549828e89691222f9cd8180d5e3225235,synthetic_ring_8q_transpiler,10.0,22.0
c2142e093ccb99940251960feda0c8e111c5304b305b2585b4176727240e142e,synthetic_irregular_7q_favorable,16.0,12.0
d8ad6f6fe282c266eae1c592f37c36ce9e15259a5ce547902e0ff453e1d3a1ca,synthetic_grid_8q_transpiler,32.0,44.0
deaf935266467950cd58176b219aee007813075ec88ef210e712ade79ff62e2a,synthetic_grid_8q_transpiler,54.0,81.0
