num_plaquettes,x,time,repetitions,term_ordering,circuit_hash,circuit_structure_hash,source_gate_count,source_depth,source_1q_count,source_2q_count,pauli_term_count,mean_pauli_weight,interaction_edge_count,interaction_mean_degree,interaction_max_degree,interaction_range,initial_ones,tvd,energy_drift,mirror_asymmetry,exact_mirror_asymmetry,survival_error,survival,local_occupation_error,occupations,electric_energy,magnetic_energy,total_energy,norm_error,strategy,target_name,native_2q_count,native_2q_depth,native_depth,estimated_duration,routing_2q_overhead,verification_result,verification_error,verification_tolerance,verification_method,compile_seconds
3,2.0,0.32,1,current,772aa3d36e9537b9c7b6edb8f91a8a94eefae84ca9fd05a66b0e4bc4e8aedcba,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.14379304649583372,2.1386219663253314,0.0,0.0,0.0820678778689527,0.009809756588970306,0.10172972904018937,"[0.573259183425566, 0.19028861921650617, 0.573259183425566]",3.6435154461535304,-2.782137412478862,0.8613780336746687,5.773159728050814e-15,qiskit,synthetic_line_6q_favorable,28,28,96,1.7614812000000016e-05,-4,True,2.8153787097156407e-15,1e-10,logical exact + routed zero/3 random states,0.535975122002128
3,2.0,0.32,1,current,772aa3d36e9537b9c7b6edb8f91a8a94eefae84ca9fd05a66b0e4bc4e8aedcba,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.14379304649583372,2.1386219663253314,0.0,0.0,0.0820678778689527,0.009809756588970306,0.10172972904018937,"[0.573259183425566, 0.19028861921650617, 0.573259183425566]",3.6435154461535304,-2.782137412478862,0.8613780336746687,5.773159728050814e-15,basic,synthetic_line_6q_favorable,28,28,91,1.790074800000001e-05,0,True,3.22012528026176e-15,1e-10,logical exact + routed zero/3 random states,0.13157327200315194
3,2.0,0.32,1,current,772aa3d36e9537b9c7b6edb8f91a8a94eefae84ca9fd05a66b0e4bc4e8aedcba,765e8cc2c75724fb242ba5e1c778dfd8856fe1c57f25e657cf6892bd9d945ec5,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.14379304649583372,2.1386219663253314,0.0,0.0,0.0820678778689527,0.009809756588970306,0.10172972904018937,"[0.573259183425566, 0.19028861921650617, 0.573259183425566]",3.6435154461535304,-2.782137412478862,0.8613780336746687,5.773159728050814e-15,teleport,synthetic_line_6q_favorable,24,24,77,1.557574200000001e-05,-8,True,2.9406505148178844e-15,1e-10,logical exact + routed zero/3 random states,0.05039745899557602
3,2.0,0.32,1,reversed,b6865d3c79408090312a8b8ba7af66feafdf6446a1d6cb0d6ba9ec0d67f5ebd6,0f8d51d20a1a29e81f8c24f0b0b472dfb8502b6183d3b0fc3ba8ac4b7ed28015,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.22146149574986884,0.48531850682692124,1.1102230246251565e-16,0.0,0.1371069275536505,0.2289845620115735,0.2151833951917213,"[0.4740099029518724, 0.5072017434484168, 0.4740099029518723]",3.8834760795624508,-0.39815757273553,3.4853185068269212,5.551115123125783e-15,qiskit,synthetic_line_6q_favorable,30,30,107,2.0139618000000016e-05,-2,True,3.000500002713078e-15,1e-10,logical exact + routed zero/3 random states,0.006129863002570346
3,2.0,0.32,1,reversed,b6865d3c79408090312a8b8ba7af66feafdf6446a1d6cb0d6ba9ec0d67f5ebd6,0f8d51d20a1a29e81f8c24f0b0b472dfb8502b6183d3b0fc3ba8ac4b7ed28015,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.22146149574986884,0.48531850682692124,1.1102230246251565e-16,0.0,0.1371069275536505,0.2289845620115735,0.2151833951917213,"[0.4740099029518724, 0.5072017434484168, 0.4740099029518723]",3.8834760795624508,-0.39815757273553,3.4853185068269212,5.551115123125783e-15,basic,synthetic_line_6q_favorable,30,30,109,1.9883874000000014e-05,-2,True,3.58766985720938e-15,1e-10,logical exact + routed zero/3 random states,0.024377061999985017
3,2.0,0.32,1,reversed,b6865d3c79408090312a8b8ba7af66feafdf6446a1d6cb0d6ba9ec0d67f5ebd6,0f8d51d20a1a29e81f8c24f0b0b472dfb8502b6183d3b0fc3ba8ac4b7ed28015,91,69,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.22146149574986884,0.48531850682692124,1.1102230246251565e-16,0.0,0.1371069275536505,0.2289845620115735,0.2151833951917213,"[0.4740099029518724, 0.5072017434484168, 0.4740099029518723]",3.8834760795624508,-0.39815757273553,3.4853185068269212,5.551115123125783e-15,teleport,synthetic_line_6q_favorable,26,26,96,1.755886800000001e-05,-6,True,3.040977675184372e-15,1e-10,logical exact + routed zero/3 random states,0.04228934700222453
3,2.0,0.32,1,symmetry,00a65b97a74991ca0835293304dac2024ed6a77d5ff505fe238acc74ab12b1ca,6a6aae1885d6873dffd1506ff8d688fd3eac509f1b62ee93f6eb8ffa9bfc57b0,91,67,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.11991216515865849,0.7523684907119668,1.1102230246251565e-16,0.0,0.04509369195548714,0.13697132641341014,0.11991216515865571,"[0.5009600541977652, 0.41193051341535125, 0.5009600541977651]",3.738537854004562,0.013830636707404961,3.7523684907119668,5.662137425588298e-15,qiskit,synthetic_line_6q_favorable,28,28,111,1.7825268000000016e-05,-4,True,3.631316172303168e-15,1e-10,logical exact + routed zero/3 random states,0.005784569999377709
3,2.0,0.32,1,symmetry,00a65b97a74991ca0835293304dac2024ed6a77d5ff505fe238acc74ab12b1ca,6a6aae1885d6873dffd1506ff8d688fd3eac509f1b62ee93f6eb8ffa9bfc57b0,91,67,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.11991216515865849,0.7523684907119668,1.1102230246251565e-16,0.0,0.04509369195548714,0.13697132641341014,0.11991216515865571,"[0.5009600541977652, 0.41193051341535125, 0.5009600541977651]",3.738537854004562,0.013830636707404961,3.7523684907119668,5.662137425588298e-15,basic,synthetic_line_6q_favorable,22,22,91,1.3111764000000005e-05,-4,True,3.018602284648458e-15,1e-10,logical exact + routed zero/3 random states,0.02765310300310375
3,2.0,0.32,1,symmetry,00a65b97a74991ca0835293304dac2024ed6a77d5ff505fe238acc74ab12b1ca,6a6aae1885d6873dffd1506ff8d688fd3eac509f1b62ee93f6eb8ffa9bfc57b0,91,67,59,32,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.11991216515865849,0.7523684907119668,1.1102230246251565e-16,0.0,0.04509369195548714,0.13697132641341014,0.11991216515865571,"[0.5009600541977652, 0.41193051341535125, 0.5009600541977651]",3.738537854004562,0.013830636707404961,3.7523684907119668,5.662137425588298e-15,teleport,synthetic_line_6q_favorable,28,28,104,1.8366948000000013e-05,-4,True,3.675492212195508e-15,1e-10,logical exact + routed zero/3 random states,0.04103192299953662
3,2.0,0.32,2,current,5aafcfabeeaa255f3e2694581b80308a659e5626137312718bea6a1ea3be60db,895718eee45a850d435c8240f7a9ee014cfb599978558936fe2e71db8b8c0270,181,137,117,64,13,1.6153846153846154,2,1.3333333333333333,2,1,[1],0.033804491976913445,0.2925869317332537,2.220446049250313e-16,0.0,0.021528415095824247,0.07034921936209876,0.02674890743723901,"[0.5631681113334028, 0.2652694408194565, 0.5631681113334026]",3.8030522934896074,-1.0956392252228608,2.7074130682667463,8.548717289613705e-15,qiskit,synthetic_line_6q_favorable,54,54,192,3.452588400000001e-05,-10,True,4.261091074326516e-15,1e-10,logical exact + routed zero/3 random states,0.005738157000450883
