case_family,cohort,num_plaquettes,term_ordering,target_topology,layout_name,circuit_hash,seeds,status,basic_win_fraction,teleport_win_fraction,tie_fraction,median_delta_2q,mean_delta_2q,median_delta_2q_depth,mean_delta_2q_depth,winner_entropy
b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd_synthetic_heavy_hex_like_7q_transpiler,robustness,3,reversed,heavy_hex_like,transpiler,b4d5502166457832ab5510beca11bf8da7f4721a767e3c0a5898a00a9f9831cd,5,ROBUST_TELEPORT,0.0,1.0,0.0,-16.0,-16.0,-16.0,-16.0,-0.0
b66e78c1f4a10c34763563660201dc843b5e66d635a6c02bb8e10ecf326cfd70_synthetic_irregular_7q_favorable,robustness,5,symmetry,irregular,favorable,b66e78c1f4a10c34763563660201dc843b5e66d635a6c02bb8e10ecf326cfd70,5,ROBUST_BASIC,1.0,0.0,0.0,16.0,16.0,12.0,12.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_grid_8q_transpiler,prospective,6,current,grid,transpiler,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,34.0,34.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_heavy_hex_like_8q_transpiler,prospective,6,current,heavy_hex_like,transpiler,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,34.0,34.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_irregular_8q_favorable,prospective,6,current,irregular,favorable,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,34.0,34.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_irregular_8q_spread,prospective,6,current,irregular,spread,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,31.0,31.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_line_8q_favorable,prospective,6,current,line,favorable,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,34.0,34.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_line_8q_spread,prospective,6,current,line,spread,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,32.0,32.0,-0.0
b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5_synthetic_ring_8q_transpiler,prospective,6,current,ring,transpiler,b75cbf89649a5d40ee4400d372e6cf3e16e5c828229f394ddf0f65442c3f44a5,5,ROBUST_BASIC,1.0,0.0,0.0,26.0,26.0,34.0,34.0,-0.0
bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03_synthetic_ring_6q_transpiler,robustness,3,current,ring,transpiler,bc2d5292433dbd57457d4b8e18f32adf5b65f135ba9bc3522cd34066a6aaff03,5,ROBUST_TELEPORT,0.0,1.0,0.0,-36.0,-36.0,-36.0,-36.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_grid_8q_transpiler,prospective,6,reversed,grid,transpiler,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,22.0,22.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_heavy_hex_like_8q_transpiler,prospective,6,reversed,heavy_hex_like,transpiler,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,22.0,22.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_irregular_8q_favorable,prospective,6,reversed,irregular,favorable,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,22.0,22.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_irregular_8q_spread,prospective,6,reversed,irregular,spread,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,19.0,19.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_line_8q_favorable,prospective,6,reversed,line,favorable,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,22.0,22.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_line_8q_spread,prospective,6,reversed,line,spread,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,19.0,19.0,-0.0
d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b_synthetic_ring_8q_transpiler,prospective,6,reversed,ring,transpiler,d338eb773a8d9b65affd729028e23e9f24e361c2bc1272505190220bc634f90b,5,ROBUST_BASIC,1.0,0.0,0.0,10.0,10.0,22.0,22.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_grid_6q_transpiler,robustness,4,reversed,grid,transpiler,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_heavy_hex_like_7q_transpiler,robustness,4,reversed,heavy_hex_like,transpiler,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_favorable,robustness,4,reversed,irregular,favorable,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_irregular_7q_spread,robustness,4,reversed,irregular,spread,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-5.0,-5.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_favorable,robustness,4,reversed,line,favorable,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_line_6q_spread,robustness,4,reversed,line,spread,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-5.0,-5.0,-0.0
dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571_synthetic_ring_6q_transpiler,robustness,4,reversed,ring,transpiler,dabd84c4a3325ef21b50a394178e913fd5ef5dba3253c4dc929ef5785b340571,5,ROBUST_TELEPORT,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-0.0
