num_plaquettes,max_bond,truncation_threshold,observable,value,ideal_trotter,exact_hamiltonian
5,8,1e-10,norm,0.9999999999237157,0.9999999999999813,1.0000000000000009
5,8,1e-10,total_energy,2.758132378208376,2.7581323488676746,3.000000000000004
5,8,1e-10,electric_energy,6.5645466491445745,6.564546001055846,6.633158313026666
5,8,1e-10,ZZ3,-0.5169164123327455,-0.5169165352544525,-0.5200026782006266
5,8,1e-10,Z0,-0.43007991221821656,-0.4300799443338886,-0.4663888329865327
5,8,1e-10,Z1,0.2803007657487284,0.28030082018270214,0.26130694666072407
5,8,1e-10,Z2,0.42484375443014605,0.4248439884326533,0.47075362387649905
5,8,1e-10,Z3,0.2803008384701755,0.28030082018270214,0.26130694666072424
5,8,1e-10,ZZ0,-0.5169172368726519,-0.5169165352544527,-0.5200026782006266
5,8,1e-10,Z4,-0.43007997537521137,-0.43007994433388813,-0.4663888329865327
5,8,1e-10,X0,0.5718882442352422,0.5718882148983706,0.5492772287579911
5,8,1e-10,X1,0.2569522989104593,0.2569512956926848,0.25921599774781867
5,8,1e-10,X2,-0.6526577213404583,-0.6526576183794607,-0.6142389114030069
5,8,1e-10,magnetic_energy,-3.806414270936197,-3.8064136521881724,-3.6331583130266627
5,8,1e-10,ZZ1,0.06898221835420684,0.06898273805011486,0.08159057592672964
5,8,1e-10,X3,0.25695140469539407,0.2569512956926853,0.2592159977478185
5,8,1e-10,X4,0.5718883001306988,0.5718882148983714,0.5492772287579912
5,8,1e-10,ZZ2,0.06898264406062668,0.06898273805011479,0.08159057592672994
5,32,1e-14,norm,1.0000000000000042,0.9999999999999813,1.0000000000000009
5,32,1e-14,total_energy,2.7581323484003986,2.7581323488676746,3.000000000000004
5,32,1e-14,electric_energy,6.5645460007013865,6.564546001055846,6.633158313026666
5,32,1e-14,ZZ3,-0.516916535256905,-0.5169165352544525,-0.5200026782006266
5,32,1e-14,Z0,-0.4300799444004381,-0.4300799443338886,-0.4663888329865327
5,32,1e-14,Z1,0.2803008205836991,0.28030082018270214,0.26130694666072407
5,32,1e-14,Z2,0.4248439884630125,0.4248439884326533,0.47075362387649905
5,32,1e-14,Z3,0.28030082032262915,0.28030082018270214,0.26130694666072424
5,32,1e-14,ZZ0,-0.5169165354994755,-0.5169165352544527,-0.5200026782006266
5,32,1e-14,Z4,-0.4300799443455953,-0.43007994433388813,-0.4663888329865327
5,32,1e-14,X0,0.5718882148706658,0.5718882148983706,0.5492772287579911
5,32,1e-14,X1,0.256951295609974,0.2569512956926848,0.25921599774781867
5,32,1e-14,X2,-0.6526576184497351,-0.6526576183794607,-0.6142389114030069
5,32,1e-14,magnetic_energy,-3.806413652300989,-3.8064136521881724,-3.6331583130266627
5,32,1e-14,ZZ1,0.06898273825770901,0.06898273805011486,0.08159057592672964
5,32,1e-14,X3,0.25695129578661197,0.2569512956926853,0.2592159977478185
5,32,1e-14,X4,0.5718882149544164,0.5718882148983714,0.5492772287579912
5,32,1e-14,ZZ2,0.06898273812779322,0.06898273805011479,0.08159057592672994
5,64,1e-14,norm,1.0000000000000042,0.9999999999999813,1.0000000000000009
5,64,1e-14,total_energy,2.7581323484003986,2.7581323488676746,3.000000000000004
5,64,1e-14,electric_energy,6.5645460007013865,6.564546001055846,6.633158313026666
5,64,1e-14,ZZ3,-0.516916535256905,-0.5169165352544525,-0.5200026782006266
5,64,1e-14,Z0,-0.4300799444004381,-0.4300799443338886,-0.4663888329865327
5,64,1e-14,Z1,0.2803008205836991,0.28030082018270214,0.26130694666072407
5,64,1e-14,Z2,0.4248439884630125,0.4248439884326533,0.47075362387649905
5,64,1e-14,Z3,0.28030082032262915,0.28030082018270214,0.26130694666072424
5,64,1e-14,ZZ0,-0.5169165354994755,-0.5169165352544527,-0.5200026782006266
5,64,1e-14,Z4,-0.4300799443455953,-0.43007994433388813,-0.4663888329865327
5,64,1e-14,X0,0.5718882148706658,0.5718882148983706,0.5492772287579911
5,64,1e-14,X1,0.256951295609974,0.2569512956926848,0.25921599774781867
5,64,1e-14,X2,-0.6526576184497351,-0.6526576183794607,-0.6142389114030069
5,64,1e-14,magnetic_energy,-3.806413652300989,-3.8064136521881724,-3.6331583130266627
5,64,1e-14,ZZ1,0.06898273825770901,0.06898273805011486,0.08159057592672964
5,64,1e-14,X3,0.25695129578661197,0.2569512956926853,0.2592159977478185
5,64,1e-14,X4,0.5718882149544164,0.5718882148983714,0.5492772287579912
5,64,1e-14,ZZ2,0.06898273812779322,0.06898273805011479,0.08159057592672994
8,8,1e-10,norm,0.9999999997132729,0.9999999999999665,1.0000000000000002
8,8,1e-10,total_energy,3.833342856862167,3.8333427477534068,4.499999999999998
8,8,1e-10,electric_energy,10.178875158162082,10.178875193941634,10.312053397622826
8,8,1e-10,ZZ6,-0.24918940516627047,-0.2491893969529564,-0.2507223212545449
8,8,1e-10,ZZ4,-0.19428691061024259,-0.1942869552124574,-0.17377620762535315
8,8,1e-10,ZZ3,0.5441037093435693,0.5441034457768016,0.5693176711799386
8,8,1e-10,magnetic_energy,-6.345532301299914,-6.345532446188226,-5.812053397622827
8,8,1e-10,ZZ1,-0.344136678072077,-0.3441366551566628,-0.3723291020638914
8,8,1e-10,X6,0.48007057149664134,0.4800705644940187,0.4688849333670512
8,8,1e-10,ZZ0,-0.24918940230505668,-0.24918939695295592,-0.2507223212545451
8,8,1e-10,X5,0.26320872667907397,0.26320869494941684,0.2571304654852374
8,8,1e-10,Z0,-0.186877378521374,-0.18687737788631908,-0.23062278718013626
8,8,1e-10,X7,0.5417953861006888,0.5417953847037736,0.525767340064303
8,8,1e-10,Z1,-0.053664650787221005,-0.053664644429205426,-0.10237397174908663
8,8,1e-10,Z2,0.38178555236151,0.3817855658570787,0.3694601631723259
8,8,1e-10,Z3,-0.32594103199633345,-0.32594100834285655,-0.28976987805800736
8,8,1e-10,Z4,-0.32594103893622645,-0.3259410083428564,-0.28976987805800747
8,8,1e-10,X0,0.5417953865304749,0.5417953847037738,0.5257673400643029
8,8,1e-10,Z5,0.3817855536648961,0.3817855658570787,0.3694601631723256
8,8,1e-10,Z6,-0.05366464670998383,-0.053664644429205204,-0.10237397174908652
8,8,1e-10,Z7,-0.186877378689571,-0.1868773778863194,-0.23062278718013632
8,8,1e-10,ZZ5,-0.34413668090910393,-0.3441366551566629,-0.3723291020638914
8,8,1e-10,X1,0.4800705588223746,0.48007056449401875,0.46888493336705106
8,8,1e-10,X2,0.2632087216555488,0.2632086949494167,0.25713046548523744
8,8,1e-10,X3,-0.18841943112467296,-0.18841949125187532,-0.20707083851828476
8,8,1e-10,ZZ2,-0.19428693144165815,-0.19428695521245723,-0.17377620762535315
8,8,1e-10,X4,-0.18841942801243278,-0.1884194912518756,-0.20707083851828487
8,32,1e-14,norm,0.9999999999998594,0.9999999999999665,1.0000000000000002
8,32,1e-14,total_energy,3.8333427454816595,3.8333427477534068,4.499999999999998
8,32,1e-14,electric_energy,10.17887519299556,10.178875193941634,10.312053397622826
8,32,1e-14,ZZ6,-0.24918939678956922,-0.2491893969529564,-0.2507223212545449
8,32,1e-14,ZZ4,-0.1942869550278901,-0.1942869552124574,-0.17377620762535315
8,32,1e-14,ZZ3,0.544103445865734,0.5441034457768016,0.5693176711799386
8,32,1e-14,magnetic_energy,-6.345532447513901,-6.345532446188226,-5.812053397622827
8,32,1e-14,ZZ1,-0.34413665493676737,-0.3441366551566628,-0.3723291020638914
8,32,1e-14,X6,0.4800705646457274,0.4800705644940187,0.4688849333670512
8,32,1e-14,ZZ0,-0.24918939686029712,-0.24918939695295592,-0.2507223212545451
8,32,1e-14,X5,0.26320869503350397,0.26320869494941684,0.2571304654852374
8,32,1e-14,Z0,-0.18687737786570643,-0.18687737788631908,-0.23062278718013626
8,32,1e-14,X7,0.541795384813465,0.5417953847037736,0.525767340064303
8,32,1e-14,Z1,-0.05366464434392763,-0.053664644429205426,-0.10237397174908663
8,32,1e-14,Z2,0.3817855660436848,0.3817855658570787,0.3694601631723259
8,32,1e-14,Z3,-0.32594100822175665,-0.32594100834285655,-0.28976987805800736
8,32,1e-14,Z4,-0.32594100825791383,-0.3259410083428564,-0.28976987805800747
8,32,1e-14,X0,0.5417953847099929,0.5417953847037738,0.5257673400643029
8,32,1e-14,Z5,0.3817855660330487,0.3817855658570787,0.3694601631723256
8,32,1e-14,Z6,-0.05366464439164623,-0.053664644429205204,-0.10237397174908652
8,32,1e-14,Z7,-0.1868773779368544,-0.1868773778863194,-0.23062278718013632
8,32,1e-14,ZZ5,-0.344136654909153,-0.3441366551566629,-0.3723291020638914
8,32,1e-14,X1,0.48007056454530095,0.48007056449401875,0.46888493336705106
8,32,1e-14,X2,0.26320869510133915,0.2632086949494167,0.25713046548523744
8,32,1e-14,X3,-0.18841949118990425,-0.18841949125187532,-0.20707083851828476
8,32,1e-14,ZZ2,-0.19428695498236478,-0.19428695521245723,-0.17377620762535315
8,32,1e-14,X4,-0.18841949119182735,-0.1884194912518756,-0.20707083851828487
8,64,1e-14,norm,0.9999999999998594,0.9999999999999665,1.0000000000000002
8,64,1e-14,total_energy,3.8333427454816595,3.8333427477534068,4.499999999999998
8,64,1e-14,electric_energy,10.17887519299556,10.178875193941634,10.312053397622826
8,64,1e-14,ZZ6,-0.24918939678956922,-0.2491893969529564,-0.2507223212545449
